Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
16411 SW Lake Forest Blvd,https://www.redfin.com/OR/Lake-Oswego/16411-Lake-Forest-Blvd-97035/home/26022103,820000,3,2,2180,No,1955,Yes,No,No,Single Family Residential,Clackamas County,No
4319 Harvey Way,https://www.redfin.com/OR/Lake-Oswego/4319-Harvey-Way-97035/home/25943416,625000,3,2.5,1685,Yes,1979,No,No,No,Single Family Residential,Clackamas County,No
4652 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/4652-Lower-Dr-97035/home/26061876,391300,2,1.5,1170,Yes,1975,Yes,Yes,No,Condo/Co-op,Clackamas County,No
63 Oswego,https://www.redfin.com/OR/Lake-Oswego/63-Oswego-Smt-97035/home/26384537,218000,1,1,764,Yes,1978,Yes,Yes,No,Condo/Co-op,Multnomah County,No
3585 Sunwood Ct,https://www.redfin.com/OR/Lake-Oswego/3585-Sunwood-Ct-97035/home/26031468,2249900,4,4,3853,No,2023,Yes,No,No,Single Family Residential,Clackamas County,Yes
4688 Upper Dr,https://www.redfin.com/OR/Lake-Oswego/4688-Upper-Dr-97035/home/144480860,2085000,4,3.5,3962,Yes,2017,Yes,No,No,Single Family Residential,Clackamas County,No
14190 Amberwood Cir,https://www.redfin.com/OR/Lake-Oswego/14190-Amberwood-Cir-97035/home/26014798,1000000,4,3,3154,Yes,1987,Yes,Yes,No,Single Family Residential,Clackamas County,No
5254 Westfield Ct,https://www.redfin.com/OR/Lake-Oswego/5254-Westfield-Ct-97035/home/25942845,1300000,4,2.5,3346,Yes,1988,Yes,Yes,No,Single Family Residential,Clackamas County,No
4638 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/4638-Lower-Dr-97035/home/26028282,307500,2,1.5,1260,No,1975,No,Yes,No,Condo/Co-op,Clackamas County,No
4324 Woodside Cir,https://www.redfin.com/OR/Lake-Oswego/4324-Woodside-Cir-97035/home/26078684,579000,2,2,1210,Yes,1979,Yes,Yes,No,Single Family Residential,Clackamas County,No
110 Greenridge Ct,https://www.redfin.com/OR/Lake-Oswego/110-Greenridge-Ct-97035/home/25993429,527000,3,2.5,2868,No,1973,No,Yes,No,Single Family Residential,Clackamas County,No
4487 Westbay Rd,https://www.redfin.com/OR/Lake-Oswego/4487-Westbay-Rd-97035/home/25924517,1200000,3,2,1869,Yes,1953,Yes,Yes,No,Single Family Residential,Clackamas County,No
